frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
73,2.442,AGREE,1,0.9576,1020.68,693.25,107164.3,854.75,531.79,1186.6,854.71,1,1017.5,695.5,846.0,529.0,1189.0,862.0,0.9382,18.2,100.82,155.15
74,2.476,AGREE,1,0.958,1020.54,693.14,107300.2,854.56,531.52,1186.52,854.76,1,1017.5,695.5,846.0,529.0,1189.0,862.0,0.9394,24.45,99.42,155.16
75,2.509,AGREE,1,0.957,1020.22,693.3,107362.6,854.16,531.66,1186.28,854.93,1,1017.5,694.5,846.0,528.0,1189.0,861.0,0.94,19.58,102.71,155.13
76,2.543,AGREE,1,0.9573,1020.16,693.33,107322.1,853.97,531.87,1186.34,854.78,1,1017.5,694.5,846.0,528.0,1189.0,861.0,0.9396,21.8,101.15,155.14
77,2.576,AGREE,1,0.9583,1020.2,693.12,107383.2,854.0,531.59,1186.39,854.65,1,1017.5,694.5,846.0,528.0,1189.0,861.0,0.9402,25.0,98.4,155.18
78,2.61,AGREE,1,0.9573,1020.41,693.15,107278.7,854.22,531.77,1186.59,854.54,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9392,23.57,103.41,155.21
79,2.643,AGREE,1,0.9586,1020.36,693.05,107106.0,854.38,531.72,1186.34,854.37,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9377,18.27,102.05,155.24
80,2.676,AGREE,1,0.9565,1020.45,693.02,107261.9,854.17,531.74,1186.72,854.29,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9391,16.8,104.69,155.29
81,2.71,AGREE,1,0.9566,1020.53,693.09,107406.3,854.28,531.59,1186.79,854.6,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9404,21.4,101.49,155.29
82,2.743,AGREE,1,0.9553,1021.49,692.76,107434.2,854.93,531.51,1188.05,854.02,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9406,20.99,100.34,155.32
83,2.777,AGREE,1,0.9564,1021.35,692.78,107330.2,855.1,531.38,1187.6,854.18,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9397,23.57,104.98,155.27
84,2.81,AGREE,1,0.9556,1020.94,692.7,107214.9,854.91,531.26,1186.97,854.14,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9387,16.59,105.5,155.23
85,2.844,AGREE,1,0.9558,1021.01,692.49,107251.9,854.98,531.0,1187.04,853.99,1,1019.5,694.5,848.0,528.0,1191.0,861.0,0.939,21.25,107.08,155.24
86,2.877,AGREE,1,0.9568,1021.48,692.55,107201.8,855.37,531.2,1187.58,853.89,1,1019.5,694.5,848.0,528.0,1191.0,861.0,0.9386,17.42,107.78,155.24
87,2.911,AGREE,1,0.9562,1020.96,692.32,107323.3,855.06,530.59,1186.87,854.04,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9396,24.33,105.3,155.25
88,2.944,AGREE,1,0.9576,1020.76,692.25,107358.2,854.83,530.51,1186.7,854.0,1,1018.5,694.5,847.0,528.0,1190.0,861.0,0.9399,21.2,101.67,155.25
89,2.978,AGREE,1,0.9565,1020.78,692.38,107346.4,854.78,530.7,1186.77,854.05,1,1019.5,694.5,848.0,528.0,1191.0,861.0,0.9398,17.47,102.18,155.27
90,3.011,AGREE,1,0.955,1020.9,692.29,107497.7,854.73,530.55,1187.06,854.02,1,1019.5,693.5,848.0,527.0,1191.0,860.0,0.9412,16.59,99.1,155.28
