frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
66,2.199,AGREE,1,0.9441,1066.2,644.26,95900.4,908.63,492.1,1223.76,796.42,1,1067.5,645.0,911.0,493.0,1224.0,797.0,0.987,23.68,60.5,58.55
67,2.233,AGREE,1,0.9444,1066.42,644.15,95903.3,908.8,492.04,1224.04,796.26,1,1067.5,645.0,911.0,493.0,1224.0,797.0,0.9874,23.61,58.72,58.51
68,2.266,AGREE,1,0.9444,1066.83,643.58,96119.0,909.14,491.19,1224.52,795.96,1,1067.5,645.0,911.0,493.0,1224.0,797.0,0.9832,16.85,62.45,58.54
69,2.299,AGREE,1,0.9464,1067.18,642.49,96558.9,909.54,489.37,1224.83,795.61,1,1068.5,645.0,912.0,493.0,1225.0,797.0,0.9755,18.04,62.47,58.56
70,2.333,AGREE,1,0.9473,1067.06,641.92,96695.4,909.53,488.47,1224.59,795.37,1,1067.5,644.0,911.0,492.0,1224.0,796.0,0.98,16.53,60.07,58.64
71,2.366,AGREE,1,0.947,1067.43,641.83,96135.1,909.93,489.23,1224.93,794.43,1,1067.5,643.0,908.0,488.0,1227.0,798.0,0.9721,16.49,60.63,58.69
72,2.399,AGREE,1,0.9486,1068.27,641.53,95950.2,910.33,489.66,1226.21,793.41,1,1069.5,643.0,913.0,491.0,1226.0,795.0,0.9814,21.52,61.32,58.77
73,2.433,AGREE,1,0.9485,1069.1,640.03,96531.8,910.73,487.65,1227.47,792.41,1,1070.5,642.0,914.0,490.0,1227.0,794.0,0.9755,23.4,59.77,58.81
74,2.466,AGREE,1,0.9473,1070.72,639.25,96744.9,912.33,486.56,1229.12,791.95,1,1069.5,641.0,910.0,486.0,1229.0,796.0,0.9776,17.89,58.95,58.89
75,2.499,AGREE,1,0.949,1071.04,638.53,97184.4,912.36,485.42,1229.73,791.64,1,1071.5,642.0,915.0,490.0,1228.0,794.0,0.9642,23.02,58.73,58.96
76,2.533,AGREE,1,0.9486,1071.73,637.87,97005.8,913.02,485.06,1230.44,790.67,1,1071.5,640.0,915.0,488.0,1228.0,792.0,0.9724,23.61,58.36,59.07
77,2.566,AGREE,1,0.9499,1073.77,637.06,97686.4,913.82,484.38,1233.72,789.74,1,1072.5,640.0,916.0,488.0,1229.0,792.0,0.9599,17.26,59.71,59.15
78,2.599,AGREE,1,0.9471,1074.64,636.6,97572.2,914.76,484.03,1234.51,789.18,1,1074.5,638.0,915.0,483.0,1234.0,793.0,0.9821,23.53,59.68,59.16
79,2.633,AGREE,1,0.9504,1076.78,637.02,97111.3,917.61,484.5,1235.95,789.55,1,1077.5,639.0,918.0,484.0,1237.0,794.0,0.9796,23.74,56.12,59.2
80,2.666,AGREE,1,0.9436,1081.58,638.83,96331.6,923.8,486.19,1239.36,791.46,1,1082.5,640.0,926.0,488.0,1239.0,792.0,0.9843,16.97,52.04,59.19
81,2.699,AGREE,1,0.9467,1087.11,642.23,96682.6,928.65,489.69,1245.56,794.77,1,1087.5,643.0,934.0,494.0,1241.0,792.0,0.9463,17.71,47.66,59.0
82,2.733,AGREE,1,0.9414,1093.21,644.45,96390.5,936.09,491.08,1250.32,797.82,1,1093.5,645.0,943.0,499.0,1244.0,791.0,0.9118,17.93,50.77,58.82
83,2.766,AGREE,1,0.94,1094.97,645.13,96731.3,937.28,491.77,1252.67,798.48,1,1097.5,645.0,944.0,496.0,1251.0,794.0,0.9458,16.55,52.38,58.84
84,2.799,AGREE,1,0.9342,1097.63,644.81,96134.2,940.59,491.77,1254.68,797.85,1,1099.5,645.0,946.0,496.0,1253.0,794.0,0.9516,17.04,54.12,58.87
85,2.833,AGREE,1,0.9298,1101.24,643.93,97520.0,943.85,489.02,1258.62,798.83,1,1101.5,644.0,948.0,495.0,1255.0,793.0,0.9381,21.25,51.25,58.96
86,2.866,AGREE,1,0.9294,1105.18,643.4,98360.6,946.66,488.28,1263.69,798.53,1,1104.5,644.0,948.0,492.0,1261.0,796.0,0.9674,21.47,55.04,58.98
87,2.899,AGREE,1,0.9327,1106.45,643.47,98576.2,947.71,488.22,1265.2,798.71,1,1105.5,644.0,949.0,492.0,1262.0,796.0,0.9653,22.19,47.29,59.03
88,2.932,AGREE,1,0.9283,1107.87,642.51,99208.9,948.53,486.85,1267.21,798.17,1,1106.5,643.0,950.0,491.0,1263.0,795.0,0.9591,16.88,47.04,59.13
89,2.966,AGREE,1,0.9263,1107.34,638.98,99691.9,948.04,482.54,1266.65,795.43,1,1107.5,641.0,951.0,489.0,1264.0,793.0,0.9545,17.94,42.06,59.32
90,2.999,AGREE,1,0.9312,1106.55,637.01,99553.4,946.63,481.38,1266.47,792.64,1,1105.5,639.0,949.0,487.0,1262.0,791.0,0.9558,19.37,46.74,59.41
91,3.032,AGREE,1,0.9348,1107.44,636.4,100662.1,946.5,480.04,1268.38,792.77,1,1107.5,638.0,954.0,489.0,1261.0,787.0,0.9088,22.93,51.92,59.45
92,3.066,AGREE,1,0.9353,1109.71,638.06,101846.0,948.07,480.54,1271.35,795.58,1,1108.5,639.0,952.0,487.0,1265.0,791.0,0.9343,17.19,54.52,59.26
93,3.099,AGREE,1,0.933,1111.95,639.87,102224.9,949.76,482.3,1274.13,797.45,1,1110.5,640.0,957.0,491.0,1264.0,789.0,0.8949,24.34,57.95,59.19
94,3.132,AGREE,1,0.9397,1115.19,640.11,101928.5,953.05,482.95,1277.33,797.27,1,1114.5,642.0,961.0,493.0,1268.0,791.0,0.8976,25.17,55.6,58.93
95,3.166,AGREE,1,0.9462,1117.11,640.35,102101.7,954.83,483.05,1279.38,797.65,1,1116.5,642.0,960.0,490.0,1273.0,794.0,0.9319,25.5,57.88,58.99
